,date,playoff,HOME,AWAY,ELO_H,ELO_A,ELO_Ha,ELO_Aa,H_SCORE,A_SCORE,LAST_5_H,LAST_5_A,BACK_H,BACK_A,WL
143,2018-11-05,,OKC,NOP,1572.889164,1554.85387,1577.642585,1550.100449,122,116,117.0,111.4,0,0,1
144,2018-11-05,,UTA,TOR,1604.826114,1626.970532,1588.879475,1642.917171,111,124,111.6,116.4,0,1,0
145,2018-11-05,,DEN,BOS,1613.520387,1590.610398,1618.978673,1585.152112,115,107,110.2,107.2,0,0,1
146,2018-11-05,,LAC,MIN,1549.262983,1503.074133,1555.201937,1497.135179,120,109,122.4,105.4,0,1,1
147,2018-11-05,,GSW,MEM,1720.82179,1427.4346,1722.834364,1425.422026,117,101,128.8,105.2,0,1,1
148,2018-11-06,,CHO,ATL,1524.911675,1362.869888,1528.210096,1359.571467,113,102,119.2,105.8,0,0,1
149,2018-11-06,,DAL,WAS,1360.309316,1450.953471,1375.577458,1435.685329,119,100,107.6,106.0,0,0,1
150,2018-11-06,,PHO,BRK,1305.876798,1450.872918,1291.151804,1465.597913,82,104,99.2,112.6,0,0,0
151,2018-11-06,,POR,MIL,1607.625732,1598.258934,1616.232717,1589.651948,118,103,112.0,123.8,0,0,1
152,2018-11-07,,CLE,OKC,1442.763964,1577.642585,1434.241824,1586.164725,86,95,105.6,122.4,0,0,0
153,2018-11-07,,ORL,DET,1361.345202,1469.536645,1353.184227,1477.697619,96,103,100.8,105.4,0,0,0
154,2018-11-07,,MIA,SAS,1487.090569,1529.427106,1493.809795,1522.707881,95,88,116.8,112.4,0,0,1
155,2018-11-07,,ATL,NYK,1359.571467,1399.777511,1350.920973,1408.428005,107,112,109.2,108.8,1,0,0
156,2018-11-07,,MEM,DEN,1425.422026,1618.978673,1432.018129,1612.38257,89,87,107.0,110.4,0,0,1
157,2018-11-07,,NOP,CHI,1550.100449,1358.831853,1552.587732,1356.34457,107,98,112.4,108.0,0,0,1
158,2018-11-07,,IND,PHI,1569.85953,1566.559753,1558.99532,1577.423964,94,100,100.6,110.6,0,0,0
159,2018-11-07,,UTA,DAL,1588.879475,1375.577458,1591.924406,1372.532527,117,102,107.4,110.0,0,1,1
160,2018-11-07,,SAC,TOR,1462.516442,1642.917171,1455.450271,1649.983342,105,114,120.2,118.0,0,0,0
161,2018-11-07,,LAL,MIN,1488.960032,1497.135179,1493.329773,1492.765437,114,110,112.2,108.2,0,0,1
162,2018-11-08,,OKC,HOU,1586.164725,1583.012916,1596.175597,1573.002045,98,80,118.0,102.2,1,0,1
163,2018-11-08,,PHO,BOS,1291.151804,1585.152112,1287.559869,1588.744047,109,116,96.4,108.4,0,0,0
164,2018-11-08,,POR,LAC,1616.232717,1555.201937,1621.764428,1549.670226,116,105,115.0,119.8,0,0,1
165,2018-11-08,,GSW,MIL,1722.834364,1589.651948,1687.612223,1624.874089,111,134,126.6,119.4,0,0,0
166,2018-11-09,,PHI,CHO,1577.423964,1528.210096,1579.572869,1526.061192,133,132,108.0,114.8,0,0,1
167,2018-11-09,,ORL,WAS,1353.184227,1435.685329,1362.300597,1426.56896,117,108,101.8,103.6,0,0,1
168,2018-11-09,,ATL,DET,1350.920973,1477.697619,1338.753721,1489.864871,109,124,112.2,108.2,0,0,0
169,2018-11-09,,MIA,IND,1493.809795,1558.99532,1483.537637,1569.267478,102,110,111.8,100.8,0,0,0
170,2018-11-09,,DEN,BRK,1612.38257,1465.597913,1602.684389,1475.296093,110,112,104.6,110.6,0,0,0
171,2018-11-09,,UTA,BOS,1591.924406,1588.744047,1597.891398,1582.777055,123,115,108.2,109.8,0,1,1
172,2018-11-09,,SAC,MIN,1455.450271,1492.765437,1464.064257,1484.151452,121,110,118.0,105.4,0,0,1
173,2018-11-10,,TOR,NYK,1649.983342,1408.428005,1652.695211,1405.716136,128,112,119.0,108.2,0,0,1
174,2018-11-10,,LAC,MIL,1549.670226,1624.874089,1554.070541,1620.473775,128,126,113.6,123.6,0,0,1
175,2018-11-10,,NOP,PHO,1552.587732,1287.559869,1555.350866,1284.796735,119,99,111.6,96.2,0,0,1
176,2018-11-10,,MEM,PHI,1432.018129,1579.572869,1441.150118,1570.44088,112,106,101.4,112.2,0,1,1
177,2018-11-10,,MIA,WAS,1483.537637,1426.56896,1470.950461,1439.156135,110,116,109.6,104.4,1,1,0
