,date,HOME,AWAY,ELO_H,ELO_A,H_SCORE,A_SCORE,LAST_5_H,LAST_5_A,A_SCORE,BACK_H,BACK_A,WL
138,11/4/2018,LAL,TOR,1501.187565,1614.742999,107,121,115,114.6,121,1,0,0
139,11/5/2018,IND,HOU,1578.781111,1574.091336,94,98,105.6,100.4,98,0,0,0
140,11/5/2018,DET,MIA,1479.390869,1477.236345,115,120,104.4,114.8,120,0,0,0
141,11/5/2018,ORL,CLE,1356.676385,1447.432781,102,100,103.2,106.2,100,1,0,1
142,11/5/2018,NYK,CHI,1406.30665,1352.302714,115,116,105.8,104.2,116,1,0,0
143,11/5/2018,OKC,NOP,1572.889164,1554.85387,122,116,117,111.4,116,0,0,1
144,11/5/2018,UTA,TOR,1604.826114,1626.970532,111,124,111.6,116.4,124,0,1,0
145,11/5/2018,DEN,BOS,1613.520387,1590.610398,115,107,110.2,107.2,107,0,0,1
146,11/5/2018,LAC,MIN,1549.262983,1503.074133,120,109,122.4,105.4,109,0,1,1
147,11/5/2018,GSW,MEM,1720.82179,1427.4346,117,101,128.8,105.2,101,0,1,1
148,11/6/2018,CHA,ATL,1524.911675,1362.869888,113,102,119.2,105.8,102,0,0,1
149,11/6/2018,DAL,WAS,1360.309316,1450.953471,119,100,107.6,106,100,0,0,1
150,11/6/2018,PHO,BKN,1305.876798,1450.872918,82,104,99.2,112.6,104,0,0,0
151,11/6/2018,POR,MIL,1607.625732,1598.258934,118,103,112,123.8,103,0,0,1
152,11/7/2018,CLE,OKC,1442.763964,1577.642585,86,95,105.6,122.4,95,0,0,0
153,11/7/2018,ORL,DET,1361.345202,1469.536645,96,103,100.8,105.4,103,0,0,0
154,11/7/2018,MIA,SAS,1487.090569,1529.427106,95,88,116.8,112.4,88,0,0,1
155,11/7/2018,ATL,NYK,1359.571467,1399.777511,107,112,109.2,108.8,112,1,0,0
156,11/7/2018,MEM,DEN,1425.422026,1618.978673,89,87,107,110.4,87,0,0,1
157,11/7/2018,NOP,CHI,1550.100449,1358.831853,107,98,112.4,108,98,0,0,1
158,11/7/2018,IND,PHI,1569.85953,1566.559753,94,100,100.6,110.6,100,0,0,0
159,11/7/2018,UTA,DAL,1588.879475,1375.577458,117,102,107.4,110,102,0,1,1
160,11/7/2018,SAC,TOR,1462.516442,1642.917171,105,114,120.2,118,114,0,0,0
161,11/7/2018,LAL,MIN,1488.960032,1497.135179,114,110,112.2,108.2,110,0,0,1
162,11/8/2018,OKC,HOU,1586.164725,1583.012916,98,80,118,102.2,80,1,0,1
163,11/8/2018,PHO,BOS,1291.151804,1585.152112,109,116,96.4,108.4,116,0,0,0
164,11/8/2018,POR,LAC,1616.232717,1555.201937,116,105,115,119.8,105,0,0,1
165,11/8/2018,GSW,MIL,1722.834364,1589.651948,111,134,126.6,119.4,134,0,0,0
166,11/9/2018,PHI,CHA,1577.423964,1528.210096,133,132,108,114.8,132,0,0,1
167,11/9/2018,ORL,WAS,1353.184227,1435.685329,117,108,101.8,103.6,108,0,0,1
168,11/9/2018,ATL,DET,1350.920973,1477.697619,109,124,112.2,108.2,124,0,0,0
169,11/9/2018,MIA,IND,1493.809795,1558.99532,102,110,111.8,100.8,110,0,0,0
170,11/9/2018,DEN,BKN,1612.38257,1465.597913,110,112,104.6,110.6,112,0,0,0
171,11/9/2018,UTA,BOS,1591.924406,1588.744047,123,115,108.2,109.8,115,0,1,1
172,11/9/2018,SAC,MIN,1455.450271,1492.765437,121,110,118,105.4,110,0,0,1
173,11/10/2018,TOR,NYK,1649.983342,1408.428005,128,112,119,108.2,112,0,0,1
174,11/10/2018,LAC,MIL,1549.670226,1624.874089,128,126,113.6,123.6,126,0,0,1
175,11/10/2018,NOP,PHO,1552.587732,1287.559869,119,99,111.6,96.2,99,0,0,1
176,11/10/2018,MEM,PHI,1432.018129,1579.572869,112,106,101.4,112.2,106,0,1,1
177,11/10/2018,MIA,WAS,1483.537637,1426.56896,110,116,109.6,104.4,116,1,1,0
178,11/10/2018,CHI,CLE,1356.34457,1434.241824,99,98,102.8,101.4,98,0,0,1
179,11/10/2018,SAS,HOU,1522.707881,1573.002045,96,89,108,95.6,89,0,0,1
180,11/10/2018,GSW,BKN,1687.612223,1475.296093,116,100,124.8,113.8,100,0,1,1
181,11/10/2018,DAL,OKC,1372.532527,1596.175597,111,96,109.6,112,96,0,0,1
182,11/10/2018,SAC,LAL,1464.064257,1493.329773,86,101,117.6,113.8,101,1,0,0
183,11/11/2018,DET,CHA,1489.864871,1526.061192,103,113,112,120.6,113,0,0,0
184,11/11/2018,HOU,IND,1566.060726,1569.267478,115,103,96.4,101.4,103,1,0,1
185,11/11/2018,NYK,ORL,1405.716136,1362.300597,89,115,110.4,105.4,115,1,0,0
186,11/11/2018,DEN,MIL,1602.684389,1620.473775,114,121,105,124,121,0,1,0
187,11/11/2018,POR,BOS,1621.764428,1582.777055,100,94,117.4,111.2,94,0,0,1
188,11/11/2018,LAL,ATL,1510.466751,1338.753721,107,106,110,111.2,106,1,0,1
189,11/12/2018,WAS,ORL,1439.156135,1393.278901,117,109,108.6,109.4,109,0,1,1
190,11/12/2018,TOR,NOP,1652.695211,1555.350866,110,126,118.8,111.2,126,0,0,0
191,11/12/2018,MIA,PHI,1470.950461,1570.44088,114,124,109,109,124,0,0,0
192,11/12/2018,OKC,PHO,1576.130629,1284.796735,118,101,109,98,101,0,0,1
193,11/12/2018,MEM,UTA,1441.150118,1597.891398,88,96,102.4,107.8,96,0,0,0
194,11/12/2018,CHI,DAL,1360.063927,1392.577494,98,103,101.2,110.2,103,0,0,0
195,11/12/2018,MIN,BKN,1484.151452,1472.099027,120,113,101.8,109.8,113,0,0,1
196,11/12/2018,SAC,SAS,1446.927279,1529.649199,104,99,113.4,104.6,99,0,0,1
197,11/12/2018,LAC,GSW,1554.070541,1690.809289,121,116,117.2,118.2,116,0,0,1
198,11/13/2018,CLE,CHA,1430.522467,1538.982876,113,89,93.8,118.2,89,0,0,1
199,11/13/2018,DEN,HOU,1591.587498,1573.927364,99,109,105.8,95.6,109,0,0,0
200,11/13/2018,GSW,ATL,1682.794976,1337.604546,110,103,115.2,109.4,103,1,0,1
201,11/14/2018,ORL,PHI,1388.37476,1580.837855,111,106,107.8,112,106,0,0,1
202,11/14/2018,WAS,CLE,1444.060275,1449.727982,119,95,109.8,98.2,95,0,1,1
203,11/14/2018,BOS,CHI,1578.462369,1351.197866,111,82,106.6,99.8,82,0,0,1
204,11/14/2018,BKN,MIA,1466.785487,1460.553486,107,120,110.2,108.2,120,0,0,0
205,11/14/2018,TOR,DET,1627.422031,1476.943187,104,106,119.4,108.8,106,0,0,0
206,11/14/2018,MIN,NOP,1489.464992,1580.624046,107,100,106,112.6,100,0,0,1
207,11/14/2018,OKC,NYK,1578.252718,1374.737832,128,103,105.8,104.6,103,0,0,1
208,11/14/2018,MIL,MEM,1631.570665,1433.87097,113,116,125.6,98,116,0,0,0
209,11/14/2018,DAL,UTA,1401.443556,1605.170547,118,68,108.2,107,68,0,0,1
210,11/14/2018,PHO,SAS,1282.674646,1523.052687,116,96,98.6,100.4,96,0,0,1
211,11/14/2018,LAL,POR,1511.615926,1626.079115,126,117,108.6,111,117,0,0,1
212,11/15/2018,HOU,GSW,1589.12094,1683.683011,107,86,98.2,114,86,0,0,1
213,11/15/2018,DEN,ATL,1576.393922,1336.71651,138,93,105,105.4,93,0,0,1
